case_id,n_fragmentos_total,n_fragmentos_sacro,n_fragmentos_coxal_izq,n_fragmentos_coxal_der,n_labels_desconocidos,volumen_hueso_total_mm3
001,4,1,2,1,0,1039569.8397095476
002,6,2,1,3,0,744795.7982931463
003,6,1,4,1,0,757676.3645019531
004,6,2,2,2,0,598892.7216796875
005,6,1,2,3,0,642750.4850578308
006,7,4,1,2,0,555656.15625
007,7,1,3,3,0,745023.5498046875
008,5,1,3,1,0,672488.5427357038
009,5,1,1,3,0,860652.1175732887
010,5,1,3,1,0,692329.4256394512
011,6,1,3,2,0,824360.5081354871
012,5,1,3,1,0,759032.793045044
013,5,1,1,3,0,756170.9097053244
014,7,2,1,4,0,848918.2044677734
015,6,2,3,1,0,739922.9206848145
016,6,1,2,3,0,927302.24609375
017,5,1,3,1,0,621504.5166015625
018,4,1,1,2,0,957987.3189626232
019,4,2,1,1,0,673690.0806823423
020,5,2,2,1,0,810054.6888599872
021,7,1,3,3,0,910430.9255901478
022,3,1,1,1,0,831920.9951171875
023,5,1,2,2,0,842165.648938406
024,9,2,4,3,0,782426.3467644
025,8,1,3,4,0,665809.3361358643
026,5,1,3,1,0,784871.2553329468
027,5,1,1,3,0,626027.1173765466
028,7,2,2,3,0,834520.0277252197
029,5,2,1,2,0,633735.3624734428
030,6,1,2,3,0,943670.7973480225
031,8,2,2,4,0,743673.7060546875
032,6,1,2,3,0,649448.1174658076
033,5,2,1,2,0,955477.3534894309
034,5,1,3,1,0,670872.4596478151
035,4,1,2,1,0,932788.1366610917
036,6,1,4,1,0,854689.94140625
037,6,2,2,2,0,708905.6063903263
038,6,2,1,3,0,694209.136504198
039,9,3,2,4,0,804348.0797912645
040,6,2,2,2,0,551192.6434580332
041,7,2,4,1,0,810348.5764562439
042,5,1,1,3,0,753977.32512322
043,5,1,2,2,0,834655.2484130859
044,4,1,1,2,0,770905.9766974967
045,7,2,3,2,0,922453.662109375
046,6,1,1,4,0,795637.20703125
047,5,1,3,1,0,767472.6703754559
048,4,1,1,2,0,685222.7075738951
049,8,1,6,1,0,780016.8220287426
050,5,1,1,3,0,859589.8443093688
051,6,1,1,4,0,857967.2487107309
052,7,2,2,3,0,689701.8221300376
053,6,2,1,3,0,761729.736328125
054,7,1,2,4,0,728756.098400116
055,6,1,1,4,0,660617.6848144531
056,6,1,1,4,0,656739.3439178467
057,7,2,4,1,0,984571.2932243347
058,6,2,3,1,0,701916.3649139404
059,5,1,2,2,0,837066.6345823709
060,6,2,1,3,0,906239.6466594052
061,5,1,1,3,0,672312.8729203808
062,5,2,2,1,0,885655.6237411499
063,5,3,1,1,0,874443.3100357056
064,7,3,1,3,0,805908.7786128182
065,4,1,2,1,0,737724.2506219919
066,7,2,4,1,0,1095225.5580101013
067,5,2,1,2,0,799208.7613503513
068,7,3,1,3,0,967640.294339976
069,7,2,3,2,0,736006.7414755115
070,5,2,2,1,0,740595.8720112342
071,5,2,2,1,0,628273.3797233308
072,4,1,2,1,0,867045.1904296875
073,5,1,1,3,0,653507.1696341038
074,5,2,1,2,0,907064.7379949534
075,7,3,3,1,0,865109.7345733643
076,6,2,3,1,0,718211.6031240392
077,6,1,4,1,0,704101.4540759168
078,4,1,2,1,0,839636.7717345456
079,7,1,3,3,0,645665.634727478
080,4,2,1,1,0,1015961.9088592529
081,4,1,1,2,0,860105.5019628535
082,4,1,1,2,0,802633.8125
083,6,1,3,2,0,728428.1585865221
084,8,2,4,2,0,794442.6950454712
085,8,2,4,2,0,738959.4234411619
086,7,2,3,2,0,691753.4994888306
087,8,3,4,1,0,884886.2613303639
088,4,1,1,2,0,953516.1534663102
089,6,1,3,2,0,887319.5989646912
090,6,1,2,3,0,725983.7117431099
091,5,1,3,1,0,557553.0210571289
092,5,1,2,2,0,954242.1540489197
093,5,1,3,1,0,965997.340045929
094,5,2,1,2,0,708388.5415607094
095,5,1,3,1,0,706431.530456543
096,6,1,2,3,0,710234.4530127783
097,6,2,2,2,0,891414.3562316895
098,5,2,2,1,0,796212.7617909174
099,6,2,2,2,0,591034.5627250671
100,7,2,3,2,0,581453.8428610705
