case_id,hu_max_crudo,hu_min_crudo,frac_padding,n_vox_metal,vol_metal_mm3,n_cortes_con_metal,corte_max_metal,metal_dentro_mascara_vox,cuerpo_media,cuerpo_std,cuerpo_p1,cuerpo_p50,cuerpo_p99,hueso_media,hueso_std,hueso_p5,hueso_p50,hueso_p95
001,2775.0,-1023.0,0.0,0,0.0,0,-1,0,8.951783929961454,177.54148851240336,-289.0,-9.0,761.0,292.32337876384605,368.5291897429048,-99.0,171.0,1121.0
002,4711.0,-1023.0,0.0,156,84.78120243521334,15,264,0,-12.894474255791797,158.19311364197415,-289.0,-49.0,711.0,324.67259222720764,265.2872577060808,31.0,251.0,881.0
003,16709.0,-1023.0,0.0,3342,1929.148796081543,72,217,0,3.233677242559703,176.27083038391683,-369.0,-9.0,861.0,476.93735981764104,284.9361088340155,111.0,411.0,1051.0
004,4961.0,-1418.0,9.766934087902225e-05,194,138.111328125,6,213,0,1.4866042068183918,163.41087565576188,-239.0,1.0,781.0,413.17667427841894,281.502164400429,91.0,331.0,1011.0
005,4695.0,-1023.0,0.0,54,43.398948669433594,26,28,0,-23.19918364853997,162.97054470724365,-359.0,-49.0,691.0,413.1796762758595,265.6775416042581,101.0,341.0,981.0
006,1649.0,-1023.0,0.0,0,0.0,0,-1,0,-6.140960755344687,152.21840554829168,-179.0,-9.0,711.0,445.0632063053045,271.2241441186169,111.0,371.0,1001.0
007,19380.0,-1023.0,0.0,7554,5278.6710205078125,186,67,0,24.71189767879495,153.36319117133036,-389.0,31.0,651.0,346.1177834471374,230.8031406348157,81.0,291.0,821.0
008,1713.0,-1024.0,0.0,0,0.0,0,-1,0,-11.698308244711958,164.33958533405928,-349.0,-29.0,771.0,393.6656005126975,327.2630942583936,21.0,301.0,1081.0
009,1613.0,-1023.0,0.0,0,0.0,0,-1,0,24.53355961218416,138.15859783518673,-279.0,31.0,591.0,244.09169097167037,210.50397089337056,11.0,181.0,671.0
010,7573.0,-2048.0,0.3005973597935268,343,245.24269597122776,21,140,0,-37.72899016558089,155.45398344655104,-389.0,-69.0,621.0,412.791244880213,295.71148751456013,51.0,341.0,1001.0
011,1677.0,-2285.0,0.3301652536605494,0,0.0,0,-1,0,-1.9839946495679461,160.48036241516286,-409.0,1.0,731.0,387.00319893498084,287.34078722922914,71.0,301.0,1001.0
012,1437.0,-1023.0,0.0,0,0.0,0,-1,0,-15.67686453923642,147.55825783359631,-349.0,-39.0,621.0,350.12430223173897,263.6687974277149,41.0,271.0,901.0
013,16941.0,-1023.0,0.0,2023,987.7929834692623,91,242,0,-3.4206184417965746,148.2513800341816,-409.0,1.0,521.0,196.57884993135903,242.3207200364783,-69.0,131.0,701.0
014,4420.0,-1023.0,0.0,120,74.71435546875,9,294,0,22.797436228121015,155.4883869746229,-299.0,31.0,711.0,387.5381983509625,243.41508905591576,91.0,321.0,881.0
015,1422.0,-1023.0,0.0,0,0.0,0,-1,0,10.746537048519599,123.98875453939382,-299.0,21.0,521.0,251.50328700242315,225.60930430133988,11.0,181.0,731.0
016,3556.0,-1023.0,0.0,2050,1251.220703125,43,53,33,50.89539243971315,198.2193790668274,-339.0,31.0,881.0,346.28408520206233,244.7925484055208,61.0,281.0,851.0
017,1470.0,-1023.0,0.0,0,0.0,0,-1,0,-13.511371005274002,153.72939114840585,-389.0,-29.0,651.0,313.6388993914206,272.7778601790183,11.0,231.0,891.0
018,1646.0,-1023.0,0.0,0,0.0,0,-1,0,1.2337922345442325,157.5340807170017,-359.0,1.0,661.0,302.47620438358007,279.77733740749574,-19.0,231.0,891.0
019,1727.0,-2048.0,0.21476634434291295,0,0.0,0,-1,0,19.521611210449294,168.35408714948443,-289.0,21.0,821.0,398.50518238727614,308.1463507212776,51.0,311.0,1051.0
020,3321.0,-2048.0,0.21513114929199217,10,4.885772257924744,4,45,0,21.270072609603044,180.24564178695073,-389.0,21.0,851.0,436.240781140021,293.63894627834935,101.0,361.0,1061.0
021,1677.0,-2048.0,0.21539632524762836,0,0.0,0,-1,0,-8.715484261072802,154.18775213822587,-319.0,-19.0,661.0,333.167041154686,292.98475988148385,11.0,251.0,961.0
022,5327.0,-1023.0,0.0,22,15.807464599609375,7,90,0,-4.483602239581577,179.81994531631597,-279.0,-29.0,781.0,435.85450033856614,374.7326777497731,41.0,311.0,1261.0
